COTONETE DOCTOR BABY X 200 UNIDADES;14.0;;
ADELGAZANTE BONAFIX X 20 SAQUITOS;24.5;;
ANTIACIDO DUO X 120 ML;15.5;;
ANTIACIDO HIDROXIDO DE ALUMINIO/SIMETICONA X 200 ML;18.0;;
BAHIA BEBE SPS 50 X 110 G;78.0;;
BAHIA FACES KIDS SPF 90 X 60 G;62.0;;
BIBERON PIGEON SOFTOUCH 330 ML/11OZ X 1 UNIDAD COD.80836;287.5;;
BIBERON PIGEON VIDRIO 50 ML/2 OZ X 1 UNIDAD COD. 03308;195.5;;
BIBERON PIGEON VIDRIO SOFTOUCH 160 ML X 1 UNIDAD;111.5;;
BOLDO TRINY X 20 SAQUITOS;16.5;;
CARAMELOS LA REINA OBRERA HEDERA HELIX X 20;7.0;;
CERA DE ORTODONCIA FORAMEN X 1 UNIDAD REF. 455;34.0;;
COLGATE PLAX ICE ENJUAGUE BUCAL X 250 ML;41.0;;
CURCUMA PLUS TUMERICO BONAFIX X 20 SAQUITOS;16.0;;
DOCTOR DENT CEPILLO INTERDENTAL MEDIO X 4 PIEZAS COD.046;26.5;;
ECOLOGICA E.N.D STEVIA ENDULZANTE NATURAL BOLSA X 35 G;12.0;;
ENHEBRADOR DE HILO DENTAL FORAMEN X 25 UNIDADES REF. 454;31.5;;
FORAMEN CREMA REPARA Y PROTEGE X 75 ML REF. 351;57.5;;
FORAMEN PHARMA CINTA DENTAL EXTRA PLANA X 1 UNIDAD;43.0;;
FUNGOFAR KETOCONAZOL 0.2% FRASCO TALCO X 100 G POLVO;64.0;;
GHIRAFF BIBERÓN HONGUITO 10oz/300ml X UNIDAD COD. BG 80;68.0;;
HELLER PLUS ĄCIDO SALICųLICO 20 G/ ĄCIDO LĄCTICO  ACEITE DE RICINO SOLUCIÓN TOPICA X 10 ML;68.5;;
HEPATO BILIAR BONAFIX X 20 SAQUITOS;23.0;;
INSPIRAL TORNADO (CONDON) X 48 UNIDADES;18.5;;
MATICO JENGIBRE MANZANILLA TRINY X 20 SAQUITOS;18.0;;
NEOCATE LCP NUTRICIA X 400 G;675.5;;
NEXCARE 3M CURITAS X 10 UNIDADES;0.5;;
NITROFURANTOINA 100 MG X 100 COMPRIMIDOS;1.0;;
PARACETAMOL 250 MG INFANTIL X 50 SUPOSITORIOS;2.5;;
PERFUNGOL TALCO X 50 G;25.0;;
PIROXICAM PIRIDOXINA CIANOCOBALAMINA KRISHPAR X 30 TABLETAS;4.0;;
QUITAPENA BONAFIX X 10 SAQUITOS;11.0;;
RENAL BONAFIX X 20 SAQUITOS;23.0;;
REPITEL CREMA BASSA X 30 G;434.0;;
SEDA DENTAL FORAMEN CON MICROFILAMENTOS X 1 UNIDAD COD. 423;63.5;;
SET DE CEPILLO Y PEINE BABY MUSICIAN COD.1446 X 2 UNIDADES;25.0;;
SOYA LECITHIN 1200 MG MASON X 100 CĄPSULAS;2.0;;
SUPOSITORIO DE GLICERINA ADULTO X 50 SUPOSITORIOS;3.5;;
VALERIANA TRINY X 20 SAQUITOS;18.0;;
0ES3 X 20 COMPRIMIDOS;4.0;;
3-A OFTENO DICLOFENACO 0.1% SOLUCIÓN OFTĄLMICA X 5 ML;206.0;;
4DERM CREMA X 10 G;43.5;;
4DERM CREMA X 20 G;59.0;;
A E VIMIN X 30 TABLETAS;3.0;;
A-VIMIN 10.000 UI X 20 TABLETAS;1.8;;
ABOVE DESODORANTE MUJER Y HOMBRE AEROSOL X 150 ML;33.0;;
ABRAMAX CLARITROMICINA 500 MG X 14 COMPRIMIDOS;33.0;;
ABRILAR EA 575 JARABE 2.5 ML EXTRACTO DE HIEDRA DESECADA X 100 ML;120.0;;
ABRILAR EA 575 JARABE CON MENTOL 0.7 G EXTRACTO SECO DE HOJAS DE HIEDRA X 100 ML;120.0;;
AC LAC JABON BASSA X 90 G;62.5;;
AC LAC LOCIÓN INTIMO BASSA X 200 ML;207.5;;
ACD-VIMIN GOTAS X 30 ML;76.5;;
ACEITE BABY CARE X 296 ML;28.0;;
ACEITE BABY ZURLY CLASICC/ALOE VERA X 414 ML;40.0;;
ACEITE CAPILAR Y CORPORAL COCO FARMAX 100 ML X UNIDAD;23.5;;
ACEITE DE ALMENDRAS REX X 30 ML;8.0;;
ACEITE DE ALMENDRAS FARMAX X 100 ML;20.0;;
ACEITE DE ALMENDRAS IFARBO X 30 ML;7.0;;
ACEITE DE ALMENDRAS REX X 60 ML;;;
ACEITE DE ALMENDRAS TELCHI LITEL X 30 ML;7.5;;
ACEITE DE ALMENDRAS TELCHI LITEL X 500 ML;48.0;;
ACEITE DE COCO FARMAX X 100 ML;21.0;;
ACEITE DE COCO POMO TELCHI LITEL X 250 ML;57.5;;
ACEITE DE COCO TELCHI LITEL X 500 ML;127.5;;
ACEITE DE HIGADO DE BACALAO X 100 CAPSULAS;0.2;;
"ACEITE DE HIGADO DE BACALAO JARABE X 1 UNIDAD 1070 UI; 110 UI/ G";;;
ACEITE DE OLIVA EXTRA VIRGEN BORGES X 250 ML;72.0;;
ACEITE DE PRIMULA X 60 CAPSULAS;2.3;;
ACEITE DE RICINO REX X 30 ML;10.0;;
ACEITE DE RICINO REX X 60 ML;14.6;;
ACEITE DE RICINO REX X 125 ML;15.0;;
ACEITE DE RICINO TELCHI LITEL X 30 ML;11.0;;
ACEITE ESCENCIAL EUCALIPTOL TELCHI LITEL X 30 ML;35.0;;
ACEITE JOHNSONS BEBÉ X 100 ML;40.5;;
ACEITE JOHNSONS BEBÉ X 200 ML;64.5;;
ACEITE PARA BEBÉS PORTUGAL X 60 ML;25.0;;
ACEITE SEMENTE DE UVA FARMAX X 100 ML;20.0;;
ACELIN X 20 COMP;;;
ACETAMIN PARACETAMOL 100 MG/ML GOTAS X 15 ML;6.5;;
ACETAMIN PARACETAMOL 125 MG/5 MG JARABE X 100 ML;12.0;;
ACETAMOL PARACETAMOL 1 G X 150 COMPRIMIDOS;1.0;;
ACETAMOL PARACETAMOL 100 MG/ ML GOTAS X 15 ML;10.0;;
ACETAMOL PARACETAMOL 120 MG/ 5 ML JARABE X 70 ML;19.5;;
ACETAMOL PLUS FORTE PARACETAMOL 300 MG/IBUPROFENO 300 MG JARABE X 100 ML;47.5;;
ACETAMOL PLUS PARACETAMOL 500 MG IBUPROFENO 400 MG X 150 COMPRIMIDOS;1.5;;
ACETAMOL PLUS PARACETAMOL 300 MG/ IBUPROFENO 300 MG JARABE X 100 ML;;;
ACETAZOLAMIDA 250 MG DELTA X 100 COMPRIMIDOS;2.0;;
ACETILCISTEINA 200 MG COFAR X 10 SOBRES;7.0;;
ACETILCISTEINA 300 MG COFAR X 10 AMPOLLAS;17.0;;
ACETILCISTEINA 600 MG COFAR X 10 SOBRES;11.0;;
ACI TIP MALGALDRATO 800 MG/SIMETICONA 40 MG X 20 COMPRIMIDOS MASTICABLES;12.5;;
ACI TIP MALGALDRATO 800 MG/SIMETICONA 60 MG SUSPENSIÓN X 200 ML;192.0;;
ACICLOVIR 800 MG DELTA X 50 COMPRIMIDOS;6.5;;
ACICLOVIR 400 MG DELTA X 100 COMPRIMIDOS;4.0;;
ACICLOVIR 400 MG SAE X 100 COMPRIMIDOS;2.3;;
ACICLOVIR 400 MG SANAT PHARMA X 100 COMPRIMIDOS;2.5;;
ACICLOVIR 5% SAE CREMA X 5 G;25.0;;
ACICLOVIR 5% CREMA PORTUGAL X 5 G;17.0;;
ACICLOVIR 5% CREMA CHILE X 15 G;25.0;;
ACICLOVIR 5% CREMA DELTA X 5 G;26.5;;
ACICLOVIR 5% CREMA DERMICA X 15 G CHILE;35.0;;
ACICLOVIR 5% CREMA MINTLAB X 5 G;20.0;;
ACICLOVIR 800 MG X 100 COMPRIMIDOS;2.0;;
ACICLOVIR 800 MG COFAR X 10 COMPRIMIDOS;9.8;;
ACICLOVIR 800 MG SANAT PHARMA X 100 COMPRIMIDOS;4.0;;
ACICLOVIR CREMA OPES X 5 G;20.5;;
ACICURE RANITIDINA 300 MG X 100 COMPRIMIDOS;;;
ACIDO ACETIL SALICILICO 100 MG X 240 TABLETAS;0.7;;
ACIDO ACETILSALICILICO 100 MG X 100 COMPRIMIDOS;0.5;;
ĄCIDO ASCÓRBICO 500 MG SOLUCIÓN INYECTABLE KRISHPAR X 50 AMPOLLAS;5.0;;
ACIDO BORICO POLVO IFARBO X 50 SOBRES;3.0;;
ĄCIDO FOLICO 5 MG DISMEDIN X 100 COMPRIMIDOS;0.6;;
ACIDO FOLICO 800 MCG CENTURY X 90 TABLETAS;0.6;;
ACIDO IBANDRONICO 150 MG X 2 COMPRIMIDOS;58.5;;
ACIFOL ACIDO FOLICO 10 MG X 30 COMPRIMIDOS;4.3;;
ACIFOL ACIDO FOLICO 5 MG X 30 COMPRIMIDOS;3.0;;
ACLERIA HIDRATANTE FACIAL GEL X 50 G;480.0;;
ACLERIA MASCARILLA FACIAL X 150 G;360.0;;
ACNOTIN 10 MG ISOTRETINOINA X 30 CĄPSULAS BLANDAS;11.0;;
ACNOTIN 20 MG ISOTRETINOINA X 30 CĄPSULAS BLANDAS;19.0;;
ACONDICIONADOR AVENA CARLA LORENA X 350 ML;27.5;;
ACONDICIONADOR FRUTILLA CARLA LORENA X 350 ML;27.5;;
ACONDICIONADOR FRUTILLA CARLA LORENA X 700 ML;39.5;;
ACONDICIONADOR HUEVO CARLA LORENA X 350 ML;27.5;;
ACONDICIONADOR HUEVO CARLA LORENA X 700 ML;39.5;;
ACOTOL DIENOGEST 2 MG/ETINILESTRADIOL 0.03 MG X 28 COMPRIMIDOS;242.0;;
ACRYLARM 0.2% GEL OFTALMICO X 1 UNIDAD;264.0;;
ACTERIL SALBUTAMOL 2 MG JARABE X 120 ML;47.0;;
ACTERIL SOLUCION P/NEBULIZAR 15ML SALBUTAMOL X 1 UNIDAD;75.5;;
ACTIFEM COMPRESA CALIENTE CARBÓN CELULOSA SAL HIERRO X 1 UNIDAD;38.5;;
ACTIFEM PARACETAMOL 325 MG IBUPROFENO 200 CAFEINA 30 MG X 100 CĄPSULAS;4.0;;
ACTIFORTE B SULFATO DE ZINC 20 MG JARABE X 120 ML;16.5;;
ACTIGIN FER X 30 CAPSULAS;6.0;;
ACTIMILK LECHE DE MAGNESIA HIDRÓXIDO DE MAGNESIO 400 MG SUSPENSIÓN X 120 ML;13.5;;
ACTIMOL PARACETAMOL 120 MG/5 ML JARABE X 60 ML;10.0;;
ACTIVE UNIFYFLUID COLOR 50 ML X 1 UNIDAD;;;
ACTRON 4 % IBUPROFENO 200 MG X 100 ML;60.0;;
ACTRON IBUPROFENO 400 MG X 10 CĄPSULAS;2.7;;
ACTRON IBUPROFENO 600 MG X 10 CĄPSULAS;4.8;;
ACUTRAM CABERGOLINA 0.5 MG X 4 COMPRIMIDOS;112.0;;
ACYCLO ACICLOVIR 200 MG X 100 COMPRIMIDOS;;;
ACYCLO ACICLOVIR 400 MG X 100 COMPRIMIDOS;2.5;;
ACYCLO ACICLOVIR 800 MG X 100 COMPRIMIDOS;6.0;;
ACYDONE GEL HIDRÓXIDO DE ALUMINIO 200 MG/HIDROXIDO DE MAGNESIO 200 MG/ SIMETICONA 25 MG MENTA SUSPENSIÓN X 210 ML;89.0;;
ACYDONE GEL HIDRÓXIDO DE ALUMINIO 200 MG/HIDRÓXIDO DE MAGNESIO 200 MG/ SIMETICONA 25 MG CHERRY SUSPENSIÓN X 210 ML;89.0;;
ADAPCLIN ADAPALENO 0.1%  CLINDAMICINA 1% GEL 30G;282.0;;
ADAPT PASTA HIDROCOLOIDE PARA OSTOMIA HOLLISTER X 60 G REF: 79300;191.0;;
ADECUAN METOCLOPRAMIDA 0.35 G GOTAS X 15 ML;102.0;;
ADECUAN METOCLOPRAMIDA 10 MG X 20 C0MPRIMIDOS;5.5;;
ADECUAN METOCLOPRAMIDA 10 MG/2ML SOLUCIÓN INYECTABLE X 5 AMPOLLAS;26.0;;
"ADERMICINA BEBÉ CREMA X 1 UNIDAD 40G; 2G/100G";42.0;;
ADHESIVE PLASTER SKIN COLOR ZINC OXIDE 2.5 CM X 1 M;3.5;;
ADHESIVE PLASTER SKIN COLOR ZINC OXIDE 1.25CM X 1 M;3.0;;
ADHESIVE PLASTER ZINC OXIDE 10 CM X 5 M;35.0;;
ADOLECIN PRO GEL X 1 UNIDAD;297.0;;
ADRENALINA 1 MG SOLUCIÓN INYECTABLE X 25 AMPOLLAS;16.0;;
ADROXEF CEFADROXILO 500 MG SUSPENSIÓN X 100 ML;;;
ADROXEF CEFADROXILO 500 MG CHILE X 14 CĄPSULAS;9.8;;
AERO OM SIMETICONA 80 MG GOTAS X 15 ML;70.5;;
AEROCAMARA ADULTO AERO 100 X 1 UNIDAD;;;
AEROCAMARA AERO 100 NEONATAL X 1 UNIDAD;;;
AEROCAMARA PEDIATRICA UNIVENT X 1 UNIDAD;;;
AEROFACIDOSE AEROCAMARA ADULTO LCH X 1 UNIDAD;185.0;;
AEROFACIDOSE AEROCAMARA LACTANTE LCH X 1 UNIDAD;185.0;;
AEROLIZER DISPOSITIVO X 1 UNIDAD;62.0;;
AERONID 125 X 120 DOSIS (AEROSOL) X 1 UNIDAD 25MCG-50MCG/DOSIS;;;
AERONID 250 AEROSOL X 120 DOSIS X 1 UNIDAD;;;
AERONID 50 (SUSPENSION AEROSOL) X 1 UNIDAD 7.25 ML/120 DOSIS;;;
AEROSAL ADULTO ( AEROCAMARA) X 1 UNIDAD;108.0;;
AEROSAL INFANTIL ( AEROCAMARA) X 1 UNIDAD;191.0;;
AFOREX ALBENDAZOL 400MG/10ML X 3 FRASCOS BEBIBLES;20.0;;
AFTER SHAVE GEL 3 EFECTOS X 1 PZA;;;
"AFTISAN PLUS (GEL) X 1 UNIDAD 75MG;1MG;20MG/100G";58.5;;
AFUNGIL FD SECNIDAZOL 166.66 MG/ITRACONAZOL 33.33 MG X 6 COMPRIMIDOS;126.0;;
AFUNGIL SECNIDAZOL 166.66 MG/ITRACONAZOL 33.33 MG X 12 CĄPSULAS;12.5;;
AGARRADORES CELESTE Y BLANCO COD.0008 X 1 UNIDAD;7.0;;
AGE REPAIR COLOR ISDIN SPF 50 X 50 ML X 1 UNIDAD;;;
AGE REPAIR FUSION WATER SPF50-50ML ISDIN;;;
AGGLAD OFTENO 2MG/ML (SOLUCION OFTALMICA) X 1 SOLUCION 2MG/ML;;;
AGIOLAX (GRANULADO) X 12;;;
AGNUS ISOTRETINOINA 20 MG X 30 CĄPSULAS;11.0;;
AGNUS CLINDAMICINA CLORHIDRATO 1%/ADAPALENO 0.1% GEL X 15 G;349.5;;
AGNUS ISOTRETINOINA 10 MG X 30 CĄPSULAS;6.0;;
AGUA CON LIDOCAINA 1% UVERSAL PHARMA X 100 AMPOLLLAS;2.0;;
AGUA DE ROSAS TELCHI LITEL X 100ML;27.5;;
AGUA DE ROSAS TELCHI LITEL X 200 ML;73.5;;
AGUA DES X 100 SOLUCION 5 ML;;;
AGUA DESTILADA 10 ML X 100 AMPOLLAS;2.0;;
AGUA DESTILADA 10 ML X 5 AMPOLLAS;3.0;;
AGUA ESTERIL 5 ml X 1 UNIDAD;0.0;;
AGUA FLORIDA 25 ML X FRASCO;8.5;;
AGUA MICELAR BIFASICA 400ML X 1 FRASCO;;;
AGUA MICELAR ROSA MOSQUETA X 1 PZA;;;
AGUA OXIGENADA 10 VOL. IFARBO X 1 LITRO;18.0;;
AGUA OXIGENADA 10 VOL. IFARBO X 125 ML;8.0;;
AGUA OXIGENADA 10 VOL. IFARBO X 500 ML;23.5;;
AGUA OXIGENADA 10 VOL. IFARBO X 60 ML;5.0;;
AGUA OXIGENADA 10 VOL. REX X 1 LITRO;17.5;;
AGUA OXIGENADA 10 VOL. REX X 125 ML;6.0;;
AGUA OXIGENADA 10 VOL. REX X 500 ML;13.0;;
;;;
